@W: CG1337 :"E:\DAC\igloo\work\ram.v":545:7:545:17|Net almost_full is not declared.
@W: CL246 :"E:\DAC\igloo\soc\sdio25\component\Actel\DirectCore\CoreAHBLite\5.2.100\rtl\vlog\core\coreahblite_masterstage.v":43:16:43:21|Input port bits 15 to 0 of SHRESP[16:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL156 :"E:\DAC\igloo\work\sd.v":152:12:152:20|*Input read_data[31:0] to expression [instance] has undriven bits; assigning undriven bits to 0.  Simulation mismatch possible. Assign all bits of the input.
@W: CL246 :"E:\DAC\igloo\work\ram.v":30:12:30:15|Input port bits 4 to 3 of ctrl[7:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL190 :"E:\DAC\igloo\work\bigfifo.v":142:0:142:5|Optimizing register bit j[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"E:\DAC\igloo\work\bigfifo.v":142:0:142:5|Optimizing register bit j[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"E:\DAC\igloo\work\bigfifo.v":142:0:142:5|Optimizing register bit j[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"E:\DAC\igloo\work\bigfifo.v":142:0:142:5|Optimizing register bit j[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"E:\DAC\igloo\work\bigfifo.v":142:0:142:5|Pruning register bits 7 to 4 of j[7:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Optimizing register bit channel_status_shift[1] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Pruning register bit 1 of channel_status_shift[23:1]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Optimizing register bit channel_status_shift[2] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Pruning register bit 2 of channel_status_shift[23:2]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Optimizing register bit channel_status_shift[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Pruning register bit 3 of channel_status_shift[23:3]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Optimizing register bit channel_status_shift[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Pruning register bit 4 of channel_status_shift[23:4]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Optimizing register bit channel_status_shift[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"E:\DAC\igloo\work\sound.v":859:0:859:5|Pruning register bit 5 of channel_status_shift[23:5]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL246 :"E:\DAC\igloo\work\sound.v":800:13:800:23|Input port bits 7 to 0 of source_left[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sound.v":801:13:801:24|Input port bits 7 to 0 of source_right[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":411:20:411:21|Input port bits 35 to 18 of b6[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":411:20:411:21|Input port bits 11 to 0 of b6[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":385:20:385:21|Input port bits 35 to 21 of a5[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":385:20:385:21|Input port bits 11 to 0 of a5[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":359:20:359:21|Input port bits 35 to 25 of a4[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":359:20:359:21|Input port bits 11 to 0 of a4[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":334:20:334:21|Input port bits 35 to 28 of a3[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":334:20:334:21|Input port bits 11 to 0 of a3[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":308:19:308:20|Input port bits 35 to 30 of a2[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":308:19:308:20|Input port bits 11 to 0 of a2[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":282:19:282:20|Input port bits 35 to 32 of a1[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sdm.v":282:19:282:20|Input port bits 11 to 0 of a1[35:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL190 :"E:\DAC\igloo\work\pipe_pcm.v":58:0:58:5|Optimizing register bit xx0[26] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"E:\DAC\igloo\work\pipe_pcm.v":58:0:58:5|Optimizing register bit xx0[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"E:\DAC\igloo\work\pipe_pcm.v":58:0:58:5|Pruning register bits 27 to 26 of xx0[27:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"E:\DAC\igloo\work\pipe_pcm.v":58:0:58:5|Pruning register bit 27 of minus[27:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"E:\DAC\igloo\work\pipe_pcm.v":58:0:58:5|Pruning register bit 27 of xx1[27:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL246 :"E:\DAC\igloo\work\pipe_pcm.v":17:20:17:22|Input port bits 5 to 0 of pcm[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\fir2.v":8:19:8:21|Input port bits 3 to 0 of x_0[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\fir2.v":9:19:9:21|Input port bits 3 to 0 of x_1[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\fir.v":21:19:21:21|Input port bits 3 to 0 of x_0[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\fir.v":22:19:22:21|Input port bits 3 to 0 of x_1[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"E:\DAC\igloo\work\sound.v":498:12:498:16|Input port bits 6 to 3 of ictrl[7:0] are unused. Assign logic for all port bits or change the input port size.

